capitals
Montgomery
Juneau
Phoenix
LittleRock
Sacramento
Denver
Hartford
Dover
Tallahassee
Atlanta
Honolulu
Boise
Springfield
Indianapolis
DesMoines
Topeka
Frankfort
BatonRouge
Augusta
Annapolis
Boston
Lansing
SaintPaul
Jackson
JeffersonCity
Helena
Lincoln
CarsonCity
Concorde
Trenton
SantaFe
Albany
Raleigh
Bismark
Columbus
OklahomaCIty
Salem
Harrisburg
Providence
Columbus
Pierre
Nashville
Austin
SaltLakeCity
Montpelier
Richmond
Olympia
Charleston
Madison
Cheyenne
